x,y,z,flag
4,3,2,
4,3,2,r
4,2,2,g
4,2,2,r
4,3,2,g
5,3,3,g
5,3,3,r
5,4,2,g
5,5,2,g
5,5,1,l
5,4,2,g
5,3,3,g
4,3,2,g
4,4,2,g
4,4,2,r
4,5,2,g
3,5,2,g
3,5,2,r
2,5,2,g
2,5,2,r
1,5,2,g
1,4,2,g
1,4,2,r
1,3,2,g
1,2,2,g
1,1,2,g
2,1,2,g
2,1,2,r
2,1,2,r
1,1,2,g
1,2,2,g
1,3,2,g
1,4,2,g
2,4,3,g
2,4,3,r
3,4,3,g
3,4,3,r
3,3,2,g
2,3,2,g
2,3,1.5,u
2,3,0.5,s
