x,y,z,flag
9,3,2,g
8,3,2,g
8,3,3,r
7,3,3,g
6,3,2,g
6,4,2,g
6,5,2,g
6,6,2,g
6,7,2,g
6,8,2,g
6,9,2,g
6,10,2,g
5,10,2,g
5,10,1,l
6,10,2,g
6,11,2,g
7,11,2,g
8,11,2,g
9,11,2,g
9,11,1.5,u
10,11,2,g
11,11,2,g
11,10,2,g
11,9,2,g
11,8,2,g
11,7,2,g
10,7,2,g
9,7,2,g
8,7,2,g
8,7,1,l
7,7,2,g
6,7,2,g
5,7,2,g
4,7,2,g
4,6,2,g
3,6,2,g
2,6,2,g
2,6,3,r
1,6,2,g
0,6,2,g
0,5,2,g
0,5,1.5,u
0,5,0.5,s
