x,y,z,flag
12,12,2,g
12,11,2,g
12,10,2,g
12,9,2,g
12,8,2,g
12,7,2,g
12,6,2,g
12,5,2,g
12,4,2,g
12,3,2,g
11,3,2,g
10,3,2,g
9,3,2,g
8,3,2,g
8,3,1,l
8,3,3,r
7,3,3,g
6,3,2,g
5,3,2,g
4,3,2,g
4,4,2,g
4,5,2,g
4,6,2,g
4,7,2,g
4,8,2,g
4,9,2,g
4,10,2,g
4,10,1.5,u
5,10,2,g
5,10,1,l
6,10,2,g
6,9,2,g
6,8,2,g
6,7,2,g
7,7,2,g
8,7,2,g
9,7,2,g
9,7,1.5,u
9,7,0.5,s
